Resource,Resource URL,Email-General,Phone-General,Address,Email-Contact,Contact,Phone-Contact,Resource Description,Resource Type,Facebook URL,Twitter URL,Instagram,Audience,Population Focus,Location,Campuses,College eligibility,Availability,Deadline,Innovation Type,Funding Amount if applicable,Topic,Technology,Client Tags,"Notes, estimated time to complete",Attachments,Approved,Approved by,Last updated,Flagged,Flagged comment,Process,Organization
PEL/Dumke Award,https://haas.berkeley.edu/financial-aid/full-time-mba/scholarships/,entrepreneurship@haas.berkeley.edu,,,entrepreneurship@haas.berkeley.edu,,,"The PEL (Partners in Entrepreneurial Leadership)/Dumke Award is an award for up to $2,500 for continuing students pursuing summer internships with startups that might not be able to compensate interns at market rates. (MBA/MPH students in their second year also qualify for consideration.) Students must have a summer internship at a verifiable startup, not founded by the applying student, received a specific and substantive written job/internship offer, and the internship is for a full-time, summer position for at least 8 weeks in duration.","Funding & Grants,Fellowships & Scholarships",,,,Other,,UC Berkeley,Berkeley,,,2/28/2019,Startups,$2.5k,General,,BearX.co,,,,,,,,,
Trione Fellowship,https://haas.berkeley.edu/financial-aid/full-time-mba/scholarships/,finaid@haas.berkeley,,,finaid@haas.berkeley,,,"Provided through the generosity of Victor and Karen Trione. This is a $15,000 scholarship based on academic excellence and Entrepreneurship. This is defined by a number of factors such as Satisfactory Academic Progress for financial aid purposes as well as GPA. The decision date may be later as we will await the final spring 2019 grades for consideration.",Funding & Grants,,,,,,UC Berkeley,Berkeley,,,2/28/2019,Startups,$15k,General,,BearX.co,,,,,,,,,
Hansoo Lee Fellowship,https://haas.berkeley.edu/financial-aid/full-time-mba/scholarships/,hansooleefellowship@gmail.com,,,hansooleefellowship@gmail.com,,,"Hansoo believed that as a community, the Haas network should encourage entrepreneurship as a full-time internship option by providing students with a stipend and mentors for the summer.

To honor his memory, we have created the Hansoo Lee Fellowship. The Fellowship will provide a stipend and mentorship to help Berkeley-Haas MBA students pursue their venture full-time for their summer internship, as Hansoo did. MBA students will receive:
A summer stipend of $5 - $10K
Mentorship from Haas alums focused on entrepreneurship","Funding & Grants,Fellowships & Scholarships",,,,Graduate Student,,UC Berkeley,Berkeley,,,2/28/2019,Startups,$5k-$10k,General,,BearX.co,,,,,,,,,
John E. Martin Fellowship,https://entrepreneurship.berkeley.edu/fellowships/,entrepreneurship@haas.berkeley.edu,,,entrepreneurship@haas.berkeley.edu,,,"The purpose of the fellowship is to provide support for high-achieving MBA, MPH and/or MSW students at UC Berkeley who demonstrate through 1) a student-initiated business/startup or 2) a summer internship commitment to improving the quality of and the access to mental healthcare. Up to two (2) fellowships of $5,000 will be awarded each year.",Funding & Grants,,,,Graduate Student,,UC Berkeley,Berkeley,,,2/28/2019,Startups,$5k,Health & Biotech,,BearX.co,,,,,,,,,
Berkeley Blockchain Xcelerator,https://scet.berkeley.edu/berkeley-blockchain-xcelerator/,,,,,,,"Selected teams to receive -
Funding up to $200k per team
SCET Berkeley Method of Entrepreneurship, Berkeley Haas Entrepreneurship and Blockchain at Berkeley training
Mentorship with notable blockchain and startup advisors
Network connections to Silicon Valley venture and funding expertise","Funding & Grants,Accelerators & Incubators",,,,,,Bay Area,,,,2/28/2019,Startups,$200k,General,,BearX.co,,,,,,,,,
The Judith Lee Stronach Baccalaureate Prize,http://stronach.berkeley.edu/overview,,,,,,,"The 2019 Stronach Baccalaureate Prize is open to Berkeley graduates in any area of study who are awarded an undergraduate degree in Fall 2018, Spring 2019, or Summer 2019. To apply, please submit an application by March 1, 2019.  A complete application includes a project proposal, project budget, transcripts, sample of work, and resume (optional). Your application file should also contain two required letters of recommendation (one of which is from a project mentor) and up to three optional letters of support (at least 2 letters, no more than 5 total).","Funding & Grants,Accelerators & Incubators",,,,Undergraduate Student,,UC Berkeley,Berkeley,,,3/1/2019,Startup Idea Stage,$25k,General,,BearX.co,Couple of weeks-a month,,,,,,,,
John L. Simpson Memorial Research Fellowship In International And Comparative Studies,https://iis.berkeley.edu/funding-opportunities/john-l-simpson-memorial-research-fellowship-in-international-and-comparative,iis.grants@berkeley.edu,,,iis.grants@berkeley.edu,,,"This research fellowship is a memorial to John L. Simpson to support research in comparative studies that analyzes similarities and differences among societies and states, with respect to social, cultural, political, and economic structures and policies, including patterns of these relationships in global and transnational systems. During his long, illustrious career, Mr. Simpson was awarded the two highest honors bestowed by the University: the Gold Medal for Outstanding Scholar in 1913 and, at Charter Day in 1960, a Doctor of Laws degree for his many years of distinguished public service. This included prominent participation in American relief efforts in Europe during and after World War I, service with a State Department mission to the Allied Control commission in Italy during the later stages of World War II, and early membership in the Belgian-American Educational Foundation, the Council on Foreign Relations in New York, and the Foreign Policy Association. Mr. Simpson served as President of the World Affairs Council of Northern California and was decorated by the French Legion of Honor and the Belgian Order of the Crown. Within the broad category of international/comparative studies, the Institute of International Studies has identified five topics that take priority.","Funding & Grants,Fellowships & Scholarships",,,,Graduate Student,,UC Berkeley,Berkeley,,,3/18/2019,,$15k,General,,BearX.co,4-page dissertation proposal narrative,,,,,,,,
Reinhard Bendix Memorial Fellowship,https://iis.berkeley.edu/funding-opportunities/reinhard-bendix-memorial-fellowship,iis.grants@berkeley.edu,,,iis.grants@berkeley.edu,,,"This award commemorates the scholarly achievements of the late Reinhard Bendix, Professor of Sociology and Political Science at the University of California, Berkeley. The fellowship is given annually to students who show promise of advancing scholarship in the field of political and social theory as well as historic studies of society and politics.  The Reinhard Bendix Memorial Fellowship is designed to carry on his tradition of scholarship into the future by providing financial assistance to graduate students.","Funding & Grants,Fellowships & Scholarships",,,,Graduate Student,,UC Berkeley,Berkeley,,,3/18/2019,,$15k,General,,BearX.co,4-page dissertation proposal narrative,,,,,,,,
Allan Sharlin Memorial Award,https://iis.berkeley.edu/funding-opportunities/allan-sharlin-memorial-award,iis.grants@berkeley.edu,,,iis.grants@berkeley.edu,,,"This award commemorates the scholarly achievements of the late Allan Sharlin, Professor of Sociology and an innovative scholar in the fields of demography and history at UC Berkeley. The award is made annually to students who show promise of advancing scholarship in the field of historical sociology, historical demography, or social history.","Funding & Grants,Fellowships & Scholarships",,,,Graduate Student,,UC Berkeley,Berkeley,,,3/18/2019,,$15k,General,,BearX.co,4-page dissertation proposal narrative,,,,,,,,
Center for Race and Gender-Undergraduate Students,http://crg.berkeley.edu/student-grants/,centerrg@berkeley.edu,510.643.8488,,centerrg@berkeley.edu,,,"The Center for Race and Gender provided grants to fund research or creative projects of undergraduates, that address issues of race and gender. Topics should be consonant with the CRG's mandate to promote increased understanding of race and gender and their intersections in a wide variety of social, cultural, and institutional contexts, especially on the Berkeley campus and its neighboring communities, but also in California, the nation, or the world.",Funding & Grants,,,,Undergraduate Student,,UC Berkeley,Berkeley,,,3/4/2019,,$100-$750,Health & Biotech,,BearX.co,"""Application Form: Yes
Letters of Rec: Yes
Letters of Rec Detail: 1
Personal Essay: Yes
Project Proposal: Yes
Other Submission Requirements: Yes
Other Submission Requirements Notes: 1-2 page project description, timeline for project completion""",,,,,,,,
Institute of International Studies Undergraduate Merit Scholarship,https://iis.berkeley.edu/funding-opportunities/undergraduate-merit-scholarship,,,,,,,"The Institute of International Studies (IIS) Undergraduate Merit Scholarship supports undergraduate research in any area of international studies.  Research may be conducted independently, in congruence with an honors thesis, or while studying abroad.  The scholarship recipients will be called IIS Junior Scholars. After completing their research projects, Junior Scholars are required to submit a four-page research summary by April 13, 2018 and attend the IIS Junior Scholars Conference held on April 30, 2018.  Junior Scholars will present their work in poster format at the conference.  Students with the strongest research project, as determined by an IIS faculty panel, will each receive an additional $1000 prize.  There will also be an opportunity to compete for the Best Poster Award, an additional $250 prize.   ","Funding & Grants,Fellowships & Scholarships",,,,Undergraduate Student,,UC Berkeley,Berkeley,,,11/13/2018,,$2.5k,General,,BearX.co,"After completing their research projects, Junior Scholars are required to submit a four-page research summary",,,,,,,,
Berkeley Research On Contemporary India Program (BRCIP) Scholarship,https://iis.berkeley.edu/funding-opportunities/berkeley-research-on-contemporary-india-program-brcip-scholarship,iis.grants@berkeley.edu,,,iis.grants@berkeley.edu,,,"The Berkeley Research on Contemporary India Program (BRCIP) fosters undergraduate education and research on India at UC Berkeley.  BRCIP will offer undergraduate scholarships to UC Berkeley students who are conducting research on any area of contemporary India in Spring or Summer 2019.  Research may be conducted independently, in congruence with an honors thesis, or while studying abroad.  After completing their research projects, winners are required to submit a four-page research summary and attend a mini-conference where research will be presented.",Fellowships & Scholarships,,,,Undergraduate Student,,UC Berkeley,Berkeley,,,11/13/2018,,$2.5k,General,,BearX.co,One-page research proposal,,,,,,,,
Cyclotron Road,http://www.cyclotronroad.org/,,,,,,,"Cyclotron Road supports leading entrepreneurial scientists as they advance technology projects with the potential for global impact. Since 2015, we have awarded more than $15 million to 41 fellows who have gone on to generate more than $80 million in funding to support their projects.","Funding & Grants,Fellowships & Scholarships",,,,"Faculty,Alumni",,Global,,,,10/31/2019,Startups,$200k,General,,BearX.co,,,,,,,,,
Contrary Capital,https://contrarycap.com/,,,,,,,"We’re a different kind of fund. We’re solely focused on backing the brightest individuals and bleeding-edge technologies coming out of universities.
During the school year, we invest through 100+ Venture Partners on-the-ground at dozens of universities.

During the summer, we run the most selective accelerator for university entrepreneurs in San Francisco, working in an intensive environment, under one roof, with one, obsessive focus: building.","Funding & Grants,Fellowships & Scholarships",,,,,,Global,,,,,Startups,$50k-$200k,General,,BearX.co,Contact Email:https://contrarycap.com/team,,,,,,,,
Dorm Room Fund,https://www.dormroomfund.com/,,,,,,,"Hi. We're Dorm Room Fund—the best way for student founders to grow their startup.
Built by students and powered by First Round, we provide founders with a strong network of investors, world-class mentors, and a $20,000 check.","Funding & Grants,""Investors for Equity, VCs""",,,,,,Global,,,,,Startups,$20k,General,,BearX.co,45 min-1 hour.,,,,,,,,
Alsop Louie Partners,https://www.alsop-louie.com/,,,,,,,,"Funding & Grants,""Investors for Equity, VCs""",,,,,,Global,,,,,Startups,Varies,General,,BearX.co,/,,,,,,,,
Bee Partners,http://beepartners.vc/,,,,,,,"We believe that machines will win at precision, complexity, and data inference.  Human will still own purpose, ingenuity, and instinct.  Our dedicated team and bench of operators support Founders with experience, strategic insight, and introductions to customers and capital to build foundational companies.  ","Funding & Grants,""Investors for Equity, VCs""",,,,,,Global,,,,,Startups,Varies,General,,BearX.co,Application form:https://beepartners.typeform.com/to/XkkzBc       Time to complete:10 minutes,,,,,,,,
Blue Bear Ventures,https://bbv.io/,,,,,,,"Investing in Technologies based on Research Innovations
Blue Bear Ventures (BBV) engages founders working on the frontiers of science and technology with the potential to solve some of the most pressing challenges we face in the world today.","Funding & Grants,""Investors for Equity, VCs""",,,,,,Global,,,,,Startups,Varies,General,,BearX.co,,,,,,,,,
The House,https://thehouse.fund/,,,,,,,"A pre-seed & early stage venture capital fund for Berkeley's top alumni, faculty, and student startups.","Funding & Grants,""Investors for Equity, VCs""",,,,,,UC Berkeley,Berkeley,,,,Startups,$250k-$500k,General,,BearX.co,1-2 Hours.,,,,,,,,
Strawberry Creek Ventures,https://www.avgfunds.com/entrepreneurs/,,,,,,,"We are purely a co-investor: We solely invest in rounds that are being led by other firms, and so we never request board seats or negotiate terms. We invest on the terms that have already been established by the company or lead investor.

We invest across all industries, stages, and geographies: We invest with the goal of providing our investors a diversified portfolio across each of these three vectors.

We mainly consider five key factors when evaluating an investment opportunity:

Team
Company Traction / Performance
Market Dynamics
Lead Investor
Deal Structure","Funding & Grants,""Investors for Equity, VCs""",,,,,,UC Berkeley,Berkeley,,,,Startups,$25k-$3M,General,,BearX.co,,,,,,,,,
Catalyst Fund,https://chemistry.berkeley.edu/berkeley-catalyst-philanthropic-fund,,,,,,,"he Berkeley Catalyst Fund has started making investments, and is working closely to foster the vibrant startup ecosystem around UC Berkeley, Lawrence Berkeley National Laboratory, UC San Francisco, associated incubators and accelerators, and alumni throughout the San Francisco Bay Area. The sector focus of the fund is biopharma, agriculture, medical device, clean air, clean water, energy storage, and sensors. The stage is primarily Seed and Series A.","Funding & Grants,""Investors for Equity, VCs""",,,,,,UC Berkeley,Berkeley,,,,Startups,Varies,Health & Biotech,,BearX.co,,,,,,,,,
Arrow Capital,https://www.arrow.capital/,,,,,,,"Founded in 2018, Arrow Capital is a student operated venture capital firm, headquartered in Berkeley, California.

Supercharged by Bow Capital & University of California’s Endowment Fund, we empower the next generation of world class Berkeley startups through a combination of funding and mentorship, and by facilitating long term strategic partnerships.

We represent a diverse community of investors, operators, and entrepreneurs, all with strong connections to Berkeley and the wider UC system","Funding & Grants,""Investors for Equity, VCs""",,,,,,UC Berkeley,Berkeley,,,,Startups,$50k,General,,BearX.co,,,,,,,,,
Xlab Grant,http://xlab.berkeley.edu/research/grantapplication.html,,,,,,,"Xlab Grants make financial support available to UC Berkeley graduate students engaged in dissertation research and to UC Berkeley post-doc and junior faculty who are interested in conducting experiments as part of their research program.
Decisions are made by the Director of Xlab. Funding decisions may favor first-time applicants and seek to encourage good research practices, including pre-registration, posting data, and posting research materials. The grant should be used within 6 months.

Grants are made possible by the support of the Dean of the Haas School of Business.",Funding & Grants,,,,Graduate Student,,UC Berkeley,Berkeley,,,,,Varies,General,,BearX.co,,,,,,,,,
Undergraduate Conference Travel Grant,https://iis.berkeley.edu/funding-opportunities/undergraduate-conference-travel-grant,iis.grants@berkeley.edu,,,iis.grants@berkeley.edu,,,"The Undergraduate Conference Travel Grant supports undergraduate students who plan on
traveling to a conference to present a research project, paper, or poster on any topic related
to international affairs. Students from all departments are eligible and IIS encourages
applications from a wide range of disciplines. The travel grant provides opportunities for
individuals to gain valuable educational experience beyond the classroom and recognizes
that many UC Berkeley undergraduate students engage in research projects that may require
travel to national or international conferences. Grant amounts will depend on the location of 
the conference (domestic or international). Students must be registered for the term in which
they are planning to attend their conference and be presenting a paper or poster at the 
conference.",Funding & Grants,,,,Undergraduate Student,,UC Berkeley,Berkeley,,,,,$300 - $1k,General,,BearX.co,One-page research description,,,,,,,,
Berkeley Haas Social Ventures Fund,http://bhsvf.com,,,,,,,"Launched in Spring of 2018 as an Institute of Business and Social Impact initiative by IBSI Fellow and Professional Faculty member Jorge Calderon, the Berkeley Haas Social Venture Fund Initiative (BH SVF) is a funding and advisor resource for current Berkeley student social venture startups.  Led by a Managing Council and MBA candidate Portfolio Fellows, BH SVF has multiple objectives: 

Continue developing impactful leaders by helping student founded social ventures progress and flourish
Give Haas graduate students a unique hands-on Impact Investing learning opportunity as Portfolio Fellows
Provide Berkeley alums with multiple engagement opportunities with students, faculty and the University either as expert advisors and/or donors",Funding & Grants,,,,"Undergraduate Student,Graduate Student",,UC Berkeley,Berkeley,,,,Startups,$5k,General,,BearX.co,,,,,,,,,
Citris Foundry,https://citrisfoundry.org/apply/,,,,,,,"At CITRIS Foundry, our founders are inventing the future. Walk into our brand-new entrepreneurship center on campus and you’ll see them working at the frontiers of gene editing, artificial intelligence, programmable hardware, energy systems, and other deep technologies.

Our view is that the biggest opportunities will appear where disciplines collide — when the lines between engineering, computer science, biology, and other tech sectors begin to blur. The University of California’s culture and ecosystem form a radical space where these opportunities are created daily.",Funding & Grants,,,,,,UC Berkeley,"Berkeley,Davis,Merced,Santa Cruz,San Francisco",,,,Startups,Varies,General,,BearX.co,,,,,,,,,
"Berkeley SkyDeck Accelerator
",https://skydeck.berkeley.edu/,Winnett@berkeley.edu,,,Winnett@berkeley.edu,,,"
Berkeley SkyDeck hosts two tracks, Acceleration (Cohort) track, and Incubation (HotDesk) track. We host over 100 startups per year.
 
Roughly twenty cohort teams are selected every six months to receive a $100,000 investment from the Berkeley SkyDeck Fund.  

Cohort teams are selected if they’re almost ready to raise their first significant round of institutional funding from top Silicon Valley VCs; most successful applicants have already raised angel funding, or previous venture capital investments from VCs outside of the United States.  After six months of intensive preparation with the help of SkyDeck, cohort companies backed by the SkyDeck Fund have a much higher probability of receiving institutional funding than the the industry average.","Funding & Grants,Accelerators & Incubators",,,,,,Bay Area,,,,,Startups,"$100,000",General,,BearX.co,Couple of days-one week.,,,,,,,,
The Haas Scholars Program,http://hsp.berkeley.edu/how-apply,,,,,,,"The Haas Scholars Program was founded in 1997 through the generous vision of Robert and Colleen Haas. Each year, twenty highly qualified, academically talented undergraduates with financial need come together to build a supportive intellectual community during their final year at UC-Berkeley. Haas Scholars come from all walks of life and every major on campus, but they are united by their desire to strive for excellence--both in their individual academic pursuits, and as an interdisciplinary cohort. (International students and undocumented students are welcome and encouraged to apply.) Applicants are evaluated primarily on the merit and originality of their proposal for an independent research or creative project that will serve as the basis for a senior or honors thesis.",Funding & Grants,,,,Undergraduate Student,"Under-represented minority,Low Income",UC Berkeley,Berkeley,,,,,$13k,General,,BearX.co,available 2020,,,,,,,,
Peter E. Haas Public Service Leaders Program,https://publicservice.berkeley.edu/programs/haas,,,,,,,"The Peter E. Haas Public Service Leaders Program provides need-based scholarships to undergraduate student leaders who have demonstrated a significant commitment to off-campus service activities. Students are eligible for awards of $2,000–$6,000 for the academic year, based on a combination of financial need and impact of project/service. The program engages students in a year-long training and support system to ensure their personal success in their service, including monthly trainings, reflective dialogues, and regular coaching/advising sessions with professional staff.",Funding & Grants,,,,Undergraduate Student,Low Income,UC Berkeley,Berkeley,,,,Startup Idea Stage,$2k-$6k,General,,BearX.co,available 2020,,,,,,,,
Berkeley Cleantech University Prize (CUP),http://cup.berkeley.edu/,info@beci.berkeley.edu,,,info@beci.berkeley.edu,,,"Each fall, student teams from throughout the U.S. will apply to the Berkeley CUP. Selected teams will receive extensive cleantech mentorship, entrepreneurial training, and access to fabrication/prototyping spaces at UC Berkeley. Additionally, selected teams will benefit from the Competition’s dedicated mentors and educators; including world-class professionals from the Haas School of Business’s Cleantech to Market (C2M), Lawrence Berkeley National Laboratory’s (LBNL) Cyclotron Road, the American Jobs Project (AJP), the Center for Information Technology Research in the Interest of Society (CITRIS) Foundry, the Sutardja Center for Entrepreneurship and Technology (SCET) and SkyDeck.

After two months of mentorship and training, the selected student teams will compete for the $50,000 Berkeley CUP which will be awarded following a pitch competition in April. Winning teams will advance to the DOE’s Cleantech University Prize National Conference.","Funding & Grants,Competitions",,,,Undergraduate Student,,Bay Area,,,,,Startups,"$50,000",General,,BearX.co,,,,,,,,,
NSF I-Corps Short Program,https://bayicorps.com/bay-area-nsf-i-corps/bay-area-nsf-i-corps-blog/training/,rhonda_shrader@berkeley.edu,,,rhonda_shrader@berkeley.edu,,,"The I-Corps training is focused on helping early-stage teams who have a fundamental technology, engineering, or business model innovation learn how search for a scalable business model through the Customer Discovery process. Teams are typically composed of three members: the technical lead (hacker), the entrepreneurial lead (hustler) and the mentor (entrepreneurial experience).","Funding & Grants,Courses",,,,,,,,,,,Startups,Varies,General,,BearX.co,,,,,,,,,
Berkeley Angel Network,http://berkeleyangelnetwork.com/,,,,,,,"The Berkeley Angel Network is a group of angel investors who are alumni, faculty and former faculty of UC Berkeley. The mission of the Berkeley Angel Network is to build an angel investor community among the alumni and faculty of UC Berkeley, and to improve the collective skills and knowledge of this angel investor community through activities related to angel investing.

As many of us have experience in growing successful companies, investing in successful companies and/or both of the above, we strive to promote entrepreneurship and entrepreneurship education within UC Berkeley and the alumni community.","Funding & Grants,""Investors for Equity, VCs""",,,,"Alumni,Faculty",,Bay Area,,,,,Startups,Varies,General,,BearX.co,"1-3 weeks.                                                                                               Timing of Application:Your application should reflect the latest developments your company has achieved, which may argue for the latest possible time to submit. However, our Selection Committee members may elect to engage with you during the Selection process, which means that earlier submissions may receive better attention. We encourage you to apply as early as possible.Post the information concerning your company by the deadline, which is specified on our site under “Calendar.”",,,,,,,,
Advance Program,ucd-advance.ucdavis.edu,advance@ucdavis.edu,,,advance@ucdavis.edu,,,"UC Davis ADVANCE is an Institutional Transformation grant that began in September of 2012. The program is supported by the National Science Foundation’s ADVANCE Program which aims to increase the participation and advancement of women in academic science and engineering careers.
Main initiatives include recruiting talented faculty and staff members that will promote a diverse STEM environment, providing support through training, mentorship, and awards. ","Education & Awareness,Events,Mentoring,Networks",,,,Other,Women,California,Davis,,Rolling,,Research-Academia,,General,,,,,,,,,,,
Black Engineers Association (BEA),http://ucdbea.com,UCDBEA.PRESIDENT@GMAIL.COM,,,UCDBEA.PROGRAMSCHAIR@GMAIL.COM,,,"Founded in the 1960's, the Black Engineers Association at the University of California, Davis (UC Davis) is a premier organization for Black students in the STEM fields.  BEA aids in the recruitment, retention and academic success of Black students in the College of Engineering through holding networking events, community service, and inviting guest speakers.
  ","Student Groups,Training & Support",https://www.facebook.com/groups/ucdbea/,,,Undergraduate Student,People of African descent,California,Davis,,Rolling,,,,General,,,,,,,,,,,
Society of Women Engineers at UC Davis,http://sweucd.org,swe.ucd@gmail.com,,,swe.ucd@gmail.com,,,"The Society of Women Engineers at UC Davis is an active section in the Sacramento-SVS area in California. 
Founded by Linda Finley, who is SWE @UCD’s current advisor today, the UC Davis section remains strong today with more than a hundred members. Some of our efforts include Night With Industry – a dinner for students with industry professionals, a “Big-Lil Sis” mentorship program, and Project Aspire, which is a day-long event with hands-on engineering activities for elementary and middle-school age girls in the area",Student Groups,,,,Undergraduate Student,Women,California,Davis,,Rolling,,,,General,,WITI,,,,,,,,,
CALESS,https://calessucd.wixsite.com/calessucd,caless.communications@gmail.com,,"University of California, Davis  1 Shields Ave  Davis, CA 95616",caless.communications@gmail.com,,,"Community of students in STEM that help each other thrive academically, professionally, and socially with the goal to better serve the Chicanx and Latinx community.
Main activities include workshops, buddy system, STEM field day for minority middle/high school students, and Industry Tours",Student Groups,https://www.facebook.com/calessucd/,,https://www.instagram.com/caless.ucd/,Undergraduate Student,People of Latin American descent,California,Davis,,Rolling,,,,General,,,,,,,,,,,
STEM Resource Center,stemresourcecenter.ucmerced.edu,stemresourcecenter@ucmerced.edu,,Academic Office Annex (AOA) 114,pgueorguieva@ucmerced.edu,"Petia Gueorguieva, PhD  STEM Resource Center Coordinator",(209) 228-3037,"A STEM Resource Center in UC Merced. Provides peer tutor/mentor programs to assist students in STEM related classes and professional choices. Connects undergraduates with faculty members and graduate students. Provides research-related networking and internship opportunities.  Provides undergraduate students with opportunities for participation and leadership in science, technology and engineering community outreach. Acquires external funding to distribute to students and faculty.","Mentoring,Events,Training & Support,Networks",,,,Undergraduate Student,,California,Merced,,Rolling,,,,General,,,,,,,,,,,
Ingenieros Unidos,https://catlife.ucmerced.edu/organization/IngenierosUnidos,iushpe@ucmerced.edu,209-228-4400,"5200 Lake Rd Merced, CA 95340 United States",iushpe@ucmerced.edu,,,"A student chapter of The Society of Hispanic Professional Engineers (SHPE).  It aims to aid each other in developing the skills needed to succeed in college and in the professional workplace. Its goal is to serve its members and form an ever lasting bond of brotherhood where everyone is equal and able to share their experiences to the community.

Main activities include workshop, networking and social events ",Student Groups,https://www.facebook.com/groups/194908704010085/,https://twitter.com/IUshpeUCM,https://www.instagram.com/ucm_shpe/,Undergraduate Student,People of Latin American descent,California,Merced,,Rolling,,,,General,,,,,,,,,,,
National Society of Black Engineers (UC Merced),https://ucmerced.campuslabs.com/engage/organization/nsbe,ucm.nsbe@gmail.com,,,ucm.nsbe@gmail.com,,,"A chapter of National Society of Black Engineers at UC Merced.  

The Mission: To increase the number of culturally responsible Black Engineers who excel academically, succeed professionally and positively impact the community. ",Student Groups,https://www.facebook.com/groups/167437986658794/,https://twitter.com/UCM_NSBE,,Undergraduate Student,People of African descent,California,Merced,,Rolling,,,,General,,,,,,,,,,,
Girls in Engineering:,gie.soe.ucsc.edu,girlsinengineering@gmail.com,831 854-7817,,girlsinengineering@gmail.com,,,"This is a free, fun 5-day camp enables girls in the 7th and 8th grade to create their very own robots, imagine themselves as computer scientists and engineers, and explore the careers and educational opportunities available to them in the science, technology, engineering and mathematics (STEM) fields. ","Courses,Education & Awareness",,,,,Women,California,Santa Cruz,,Summer,,,,General,,WITI,,,,,,,,,
Women in Science & Engineering:,https://wiseucsc.wixsite.com/wise,wiseucsc@gmail.com,,,wiseoutreach@gmail.com,,,"Women in Science and Engineering (WiSE) at UC Santa Cruz  is a student-run program on campus that seeks to promote the status and retention of women in STEM fields.

Main activities include monthly science talk. monthly reading group on the gender and other minority biases in STEM, workshops, social networking events, Pop-up Museum for interactive learning about research and experiences close to home, WiSE Naturalists for outdoor excursions in the Monterey Bay region. youTube channel, and STEM outreach for local middle school girls.","Student Groups,Mentoring,Training & Support",https://www.facebook.com/wiseucsc/,https://twitter.com/wiseucsc,https://www.instagram.com/wiseucsc/,,Women,California,"Santa Cruz,San Francisco",,Rolling,,,,General,,WITI,,,,,,,,,
National Society of Black Engineers (UC Santa Cruz),https://nsbe.soe.ucsc.edu/node/10,nsbe.ucsc@gmail.com.,,,nsbe.ucsc@gmail.com.,,,A chapter of National Society of Black Engineers at UC Santa Cruz.,Student Groups,,,,"Undergraduate Student,Graduate Student",People of African descent,California,"Santa Cruz,San Francisco",,Rolling,,,,General,,,,,,,,,,,
Society of Hispanic Professional Engineers,https://shpe.soe.ucsc.edu/,dolanogu@ucsc.edu,,"Baskin School of Engineering  Baskin Engineering Building  1156 High Street Santa Cruz, CA 95060",dolanogu@ucsc.edu,Daniela Olano Guia,,"A chapter of the Society of Hispanic Professional Engineers (SHPE) at UCSC.

Membership development and participation has been one of its main goals accomplished by providing professional exposure, leadership opportunities, workshops, and scholarships to assist members in their personal and professional development. Through activities such as conferences, career fairs, specialized workshops, industry speakers, and by encouraging participation in our various committees, SHPE-UCSC remains a growing familia.

",Student Groups,,,,Undergraduate Student,People of Latin American descent,California,"Santa Cruz,San Francisco",,Rolling,,,,General,,,,,,,,,,,
Stanford Women in Technology,,,,,,,,"Sponsored by the CIO-Council, Stanford Women in Technology (Stanford WIT) is a university-wide program that advances gender representation, engagement, and support. Through networking, workshops, mentoring, and more, the group helps foster a supportive, productive, and inclusive work environment where all people feel valued and respected.","Events,Mentoring,Networks,Training & Support",,,,"Undergraduate Student,Graduate Student,Faculty,Staff",Women,California,,,Rolling,,,,General,,WITI,,,,,,,,,
Underdog Foundation,https://ucbstartupfair.com/,info@underdogventures.com,802-723-9909,"Underdog Ventures, LLC® 23 Route 105, E. Brighton Rd. P.O. Box 443 Island Pond, VT 05846",info@underdogventures.com,,,"The Underdog Foundation identifies non-profit organizations that
are in need of grants and that have demonstrated abilities to provide important community services; as well as assistance in the form of finance, marketing, operations, strategic partnering, and negotiations. Provides a place for investors, CEOs and advisors to provide mentoring and technical expertise to support non-profit organizations doing
important work in our communities. The interest areas of the Underdog Foundation are: Environment and Conservation, Community Investment, Women’s Entrepreneurship, International Community Investment and Community Development.",Funding & Grants,,,,,,Global,,,Rolling,,,,General,,,,,,,,,,,
Malala Fund,https://www.malala.org,,,,,https://www.malala.org/contact,,"Malala and Ziauddin Yousafzai founded Malala Fund in 2013 to champion every girl’s right to 12 years of free, safe, quality education.  
With more than 130 million girls out of school today, here’s how we’re breaking down barriers that hold girls back: Investing in local education activists, Advocating to hold leaders accountable and Amplifying girls’ voices",Funding & Grants,https://www.facebook.com/MalalaFund,https://twitter.com/MalalaFund,https://www.instagram.com/malalafund/,,Women,Global,,,Rolling,,,,General,,WITI,,,,,,,,,
TechGirlz,https://www.techgirlz.org/,,,,,https://www.techgirlz.org/contact/,,"TechGirlz is a nonprofit organization dedicated to reducing the gender gap in technology occupations, by focusing on girls at the crucial middle school age. We offer free workshops to get girls interested in different kinds of technology, show them varied career options, and connect them with professionals in technology fields.",Education & Awareness,https://www.facebook.com/TechGirlzorg/,https://twitter.com/techgirlzorg,https://www.instagram.com/techgirlz/,,Women,United States,,,Rolling,,,,General,,WITI,,,,,,,,,
